"gender","petpref"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","dog"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"men","cat"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","dog"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
"women","cat"
